learning_rate,clip_coef,entropy_coef,avg_auc,runs,files
0.001,0.15,0.05,1147748.0,3,"62461222-cdr1739.out, 62461223-cdr1739.out, 62461224-cdr1739.out"
0.001,0.3,0.05,1144994.6666666667,3,"62463394-cdr2448.out, 62463395-cdr2464.out, 62463396-cdr1708.out"
0.001,0.4,0.05,1142597.3333333333,3,"62463409-cdr1712.out, 62463410-cdr1712.out, 62463411-cdr1712.out"
0.001,0.2,0.05,1131470.6666666667,3,"62462106-cdr1733.out, 62462107-cdr1733.out, 62462108-cdr1733.out"
0.001,0.3,0.01,1122988.0,3,"62462930-cdr2053.out, 62462931-cdr2070.out, 62462932-cdr2070.out"
0.001,0.4,0.01,1122964.0,3,"62463406-cdr1712.out, 62463407-cdr1712.out, 62463408-cdr1712.out"
0.0005,0.3,0.01,1110400.6666666667,3,"62459105-cdr1751.out, 62459106-cdr1753.out, 62459107-cdr1753.out"
0.0005,0.4,0.01,1110380.6666666667,3,"62460153-cdr2326.out, 62460154-cdr2378.out, 62460155-cdr2378.out"
0.0005,0.15,0.01,1099418.0,3,"62458445-cdr2372.out, 62458446-cdr2373.out, 62458447-cdr2373.out"
0.0005,0.1,0.01,1092717.3333333333,3,"62458430-cdr864.out, 62458431-cdr864.out, 62458432-cdr864.out"
0.001,0.1,0.05,1080956.0,3,"62460171-cdr2410.out, 62460172-cdr2413.out, 62461207-cdr1737.out"
0.0005,0.1,0.05,1051618.6666666667,3,"62458433-cdr864.out, 62458434-cdr864.out, 62458435-cdr2463.out"
0.0005,0.4,0.05,1047165.3333333334,3,"62460156-cdr2378.out, 62460157-cdr2378.out, 62460158-cdr2398.out"
0.0005,0.3,0.05,1047161.3333333334,3,"62459108-cdr1753.out, 62459109-cdr1753.out, 62459110-cdr1757.out"
0.0005,0.15,0.05,1047153.3333333334,3,"62458448-cdr2373.out, 62458449-cdr2373.out, 62458551-cdr1733.out"
0.0005,0.3,0.1,1033757.3333333334,3,"62459111-cdr1757.out, 62459112-cdr1757.out, 62459113-cdr1757.out"
0.0005,0.4,0.1,1033757.3333333334,3,"62460159-cdr2398.out, 62460160-cdr2400.out, 62460161-cdr2401.out"
0.0005,0.15,0.1,1033756.0,3,"62458552-cdr1733.out, 62458553-cdr1733.out, 62458554-cdr1733.out"
