step_size,num_minibatches,rollout_steps,entropy_coef,l1_lambda_x,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,auc_seed_11000,auc_seed_12000,auc_seed_13000,auc_seed_14000,mean_auc,std_auc,min_auc,max_auc,n_seeds,l1_lambda_y,file_name
3e-05,64,2000,0.0,1e-05,-25803.64525949814,-14128.707057722895,-19873.898489579402,-42168.465940832415,-14142.273580709722,-31478.72297399985,-18934.61673751111,-24436.415583306585,-14282.568940738913,-14327.489852776393,-30948.75780553895,-16672.435003479284,-20789.542836303885,-15170.572099771174,-21654.150868697765,8141.4115285287035,-42168.465940832415,8141.4115285287035,18,1e-05,car-train_10000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_1000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_11000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_12000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_13000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_14000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_2000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_3000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_4000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_5000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_6000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_7000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_8000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5;car-train_9000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-5
3e-05,64,2000,0.0,1e-05,-25803.64525949814,-14128.707057722895,-19873.898489579402,-42168.465940832415,-14142.273580709722,-31478.72297399985,-18934.61673751111,-24436.415583306585,-14282.568940738913,-14327.489852776393,-30948.75780553895,-16672.435003479284,-20789.542836303885,-15170.572099771174,-21654.150868697765,8141.4115285287035,-42168.465940832415,8141.4115285287035,18,0.0001,car-train_10000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_1000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_11000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_12000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_13000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_14000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_2000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_3000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_4000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_5000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_6000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_7000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_8000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4;car-train_9000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-4
3e-05,64,2000,0.0,1e-05,-25803.64525949814,-14128.707057722895,-19873.898489579402,-42168.465940832415,-14142.273580709722,-31478.72297399985,-18934.61673751111,-24436.415583306585,-14282.568940738913,-14327.489852776393,-30948.75780553895,-16672.435003479284,-20789.542836303885,-15170.572099771174,-21654.150868697765,8141.4115285287035,-42168.465940832415,8141.4115285287035,18,0.001,car-train_10000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_1000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_11000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_12000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_13000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_14000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_2000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_3000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_4000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_5000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_6000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_7000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_8000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3;car-train_9000_5000000_ss_3e-5_m_64_r_2000_e_0.0_l1_1e-3
0.0001,32,6000,0.0,1e-05,-18047.532451628616,-16004.176397136915,-18774.742745225412,-27889.760199008244,-24095.21816253482,-31401.45902273545,-18096.055402310467,-26920.204552215313,-14697.920741467022,-22456.177397464075,-29490.19032533832,-13346.721922874416,-25075.80991115261,-23063.89474684411,-22097.13314128113,5502.343979801827,-31401.45902273545,5502.343979801827,18,1e-05,car-train_10000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_1000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_11000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_12000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_13000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_14000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_2000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_3000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_4000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_5000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_6000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_7000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_8000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_9000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5
0.0001,32,6000,0.0,1e-05,-18047.532451628616,-16004.176397136915,-18774.742745225412,-27889.760199008244,-24095.21816253482,-31401.45902273545,-18096.055402310467,-26920.204552215313,-14697.920741467022,-22456.177397464075,-29490.19032533832,-13346.721922874416,-25075.80991115261,-23063.89474684411,-22097.13314128113,5502.343979801827,-31401.45902273545,5502.343979801827,18,0.0001,car-train_10000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_1000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_11000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_12000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_13000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_14000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_2000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_3000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_4000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_5000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_6000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_7000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_8000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_9000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4
0.0001,32,6000,0.0,1e-05,-18047.532451628616,-16004.176397136915,-18774.742745225412,-27889.760199008244,-24095.21816253482,-31401.45902273545,-18096.055402310467,-26920.204552215313,-14697.920741467022,-22456.177397464075,-29490.19032533832,-13346.721922874416,-25075.80991115261,-23063.89474684411,-22097.13314128113,5502.343979801827,-31401.45902273545,5502.343979801827,18,0.001,car-train_10000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_1000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_11000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_12000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_13000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_14000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_2000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_3000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_4000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_5000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_6000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_7000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_8000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_9000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3
3e-05,128,6000,0.0,1e-05,-26759.159380265086,-17052.897248037396,-24369.68050276725,-19001.65668222559,-23801.233569539745,-23375.969113515817,-25547.854972365374,-28984.846205457332,-15650.430252303575,-19347.865349792733,-15535.273648954868,-17552.748150291663,-28310.422490063982,-26485.0811967497,-22269.651340166434,4598.780632462814,-28984.846205457332,4598.780632462814,18,1e-05,car-train_10000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_1000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_11000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_12000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_13000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_14000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_2000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_3000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_4000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_5000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_6000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_7000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_8000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5;car-train_9000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-5
3e-05,128,6000,0.0,1e-05,-26759.159380265086,-17052.897248037396,-24369.68050276725,-19001.65668222559,-23801.233569539745,-23375.969113515817,-25547.854972365374,-28984.846205457332,-15650.430252303575,-19347.865349792733,-15535.273648954868,-17552.748150291663,-28310.422490063982,-26485.0811967497,-22269.651340166434,4598.780632462814,-28984.846205457332,4598.780632462814,18,0.0001,car-train_10000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_1000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_11000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_12000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_13000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_14000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_2000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_3000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_4000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_5000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_6000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_7000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_8000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4;car-train_9000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-4
3e-05,128,6000,0.0,1e-05,-26759.159380265086,-17052.897248037396,-24369.68050276725,-19001.65668222559,-23801.233569539745,-23375.969113515817,-25547.854972365374,-28984.846205457332,-15650.430252303575,-19347.865349792733,-15535.273648954868,-17552.748150291663,-28310.422490063982,-26485.0811967497,-22269.651340166434,4598.780632462814,-28984.846205457332,4598.780632462814,18,0.001,car-train_10000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_1000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_11000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_12000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_13000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_14000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_2000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_3000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_4000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_5000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_6000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_7000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_8000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3;car-train_9000_5000000_ss_3e-5_m_128_r_6000_e_0.0_l1_1e-3
3e-05,64,4000,0.0,1e-05,-22750.20561552087,-18533.112618696607,-28132.01093400621,-20067.138904419386,-18229.164392640614,-28808.093948992355,-36747.45530224027,-29634.181199418883,-14347.31944785823,-17642.68258260192,-18202.61661384997,-15555.940978410603,-28830.103156869878,-23429.260573662505,-22922.091876370596,6327.617642692154,-36747.45530224027,6327.617642692154,18,1e-05,car-train_10000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_1000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_11000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_12000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_13000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_14000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_2000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_3000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_4000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_5000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_6000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_7000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_8000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5;car-train_9000_5000000_ss_3e-5_m_64_r_4000_e_0.0_l1_1e-5
