ss,bs,tu,e,rb,ar,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,mean_auc,std_auc,min_auc,max_auc,n_seeds,file_name
0.0001,64,100,0.01,1000000,3,,,,395827.7514597741,,,,,,,395827.7514597741,0.0,0.0,395827.7514597741,5,car-train_4000_1000000_ss_0.0001_bs_64_tu_100_e_0.01_rb_1000000_ar_3
0.0001,64,100,0.01,2000000,3,,,,395827.7514597741,,,,,,,395827.7514597741,0.0,0.0,395827.7514597741,5,car-train_4000_1000000_ss_0.0001_bs_64_tu_100_e_0.01_rb_2000000_ar_3
0.0001,64,1000,0.01,1000000,3,,,,,,,,,367625.7921237912,,367625.7921237912,0.0,0.0,367625.7921237912,5,car-train_9000_1000000_ss_0.0001_bs_64_tu_1000_e_0.01_rb_1000000_ar_3
0.0001,64,1000,0.01,2000000,3,,,,,,,,,367625.7921237912,,367625.7921237912,0.0,0.0,367625.7921237912,5,car-train_9000_1000000_ss_0.0001_bs_64_tu_1000_e_0.01_rb_2000000_ar_3
0.0001,128,100,0.1,2000000,3,,,,358991.29540803534,,,,,,,358991.29540803534,0.0,0.0,358991.29540803534,5,car-train_4000_1000000_ss_0.0001_bs_128_tu_100_e_0.1_rb_2000000_ar_3
0.0001,128,100,0.1,1000000,3,,,,358991.29540803534,,,,,,,358991.29540803534,0.0,0.0,358991.29540803534,5,car-train_4000_1000000_ss_0.0001_bs_128_tu_100_e_0.1_rb_1000000_ar_3
0.0001,64,500,0.01,2000000,3,,,,,,,,,353548.7543340608,,353548.7543340608,0.0,0.0,353548.7543340608,5,car-train_9000_1000000_ss_0.0001_bs_64_tu_500_e_0.01_rb_2000000_ar_3
0.0001,128,100,0.1,1000000,5,,,,,,,321445.2374253746,,,,321445.2374253746,0.0,0.0,321445.2374253746,5,car-train_7000_1000000_ss_0.0001_bs_128_tu_100_e_0.1_rb_1000000_ar_5
0.0001,128,100,0.1,2000000,5,,,,,,,321445.2374253746,,,,321445.2374253746,0.0,0.0,321445.2374253746,5,car-train_7000_1000000_ss_0.0001_bs_128_tu_100_e_0.1_rb_2000000_ar_5
0.0001,64,100,0.1,1000000,3,,,,313232.64018451347,,,,,,,313232.64018451347,0.0,0.0,313232.64018451347,5,car-train_4000_1000000_ss_0.0001_bs_64_tu_100_e_0.1_rb_1000000_ar_3
