step_size,num_minibatches,rollout_steps,entropy_coef,l1_lambda_x,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,auc_seed_11000,auc_seed_12000,auc_seed_13000,auc_seed_14000,mean_auc,std_auc,min_auc,max_auc,n_seeds,l1_lambda_y,file_name
0.0001,128,6000,0.0,1e-05,188143.3205078773,-26528.85546420193,68429.57891626401,-23733.493113087985,-29682.79651757569,-19864.698219046662,-38069.845370044895,41277.83815749983,443587.4669343678,294597.6316978767,-23658.786911645613,64441.59866519254,-27621.121028924168,-33109.56759313346,62729.162190101284,141627.3749995952,-38069.845370044895,443587.4669343678,18,1e-05,car-train_10000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_1000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_11000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_12000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_13000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_14000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_2000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_3000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_4000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_5000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_6000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_7000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_8000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5;car-train_9000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-5
0.0001,128,6000,0.0,1e-05,188143.3205078773,-26528.85546420193,68429.57891626401,-23733.493113087985,-29682.79651757569,-19864.698219046662,-38069.845370044895,41277.83815749983,443587.4669343678,294597.6316978767,-23658.786911645613,64441.59866519254,-27621.121028924168,-33109.56759313346,62729.162190101284,141627.3749995952,-38069.845370044895,443587.4669343678,18,0.0001,car-train_10000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_1000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_11000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_12000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_13000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_14000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_2000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_3000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_4000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_5000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_6000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_7000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_8000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4;car-train_9000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-4
0.0001,128,6000,0.0,1e-05,188143.3205078773,-26528.85546420193,68429.57891626401,-23733.493113087985,-29682.79651757569,-19864.698219046662,-38069.845370044895,41277.83815749983,443587.4669343678,294597.6316978767,-23658.786911645613,64441.59866519254,-27621.121028924168,-33109.56759313346,62729.162190101284,141627.3749995952,-38069.845370044895,443587.4669343678,18,0.001,car-train_10000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_1000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_11000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_12000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_13000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_14000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_2000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_3000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_4000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_5000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_6000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_7000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_8000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3;car-train_9000_5000000_ss_1e-4_m_128_r_6000_e_0.0_l1_1e-3
0.0001,32,6000,0.0,1e-05,-23703.491865052332,81389.25064131826,22711.425967947842,-23421.701683308333,-21442.36150770025,34692.21332360268,430947.66972521297,105386.16117624729,-21948.987639840227,112403.69168728852,-25629.02463589034,97698.15835095102,-23877.662243747305,125470.18655381209,62191.10913220299,117174.6775655383,-25629.02463589034,430947.66972521297,18,1e-05,car-train_10000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_1000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_11000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_12000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_13000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_14000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_2000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_3000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_4000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_5000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_6000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_7000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_8000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5;car-train_9000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-5
0.0001,32,6000,0.0,1e-05,-23703.491865052332,81389.25064131826,22711.425967947842,-23421.701683308333,-21442.36150770025,34692.21332360268,430947.66972521297,105386.16117624729,-21948.987639840227,112403.69168728852,-25629.02463589034,97698.15835095102,-23877.662243747305,125470.18655381209,62191.10913220299,117174.6775655383,-25629.02463589034,430947.66972521297,18,0.0001,car-train_10000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_1000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_11000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_12000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_13000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_14000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_2000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_3000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_4000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_5000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_6000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_7000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_8000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4;car-train_9000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-4
0.0001,32,6000,0.0,1e-05,-23703.491865052332,81389.25064131826,22711.425967947842,-23421.701683308333,-21442.36150770025,34692.21332360268,430947.66972521297,105386.16117624729,-21948.987639840227,112403.69168728852,-25629.02463589034,97698.15835095102,-23877.662243747305,125470.18655381209,62191.10913220299,117174.6775655383,-25629.02463589034,430947.66972521297,18,0.001,car-train_10000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_1000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_11000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_12000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_13000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_14000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_2000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_3000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_4000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_5000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_6000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_7000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_8000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3;car-train_9000_5000000_ss_1e-4_m_32_r_6000_e_0.0_l1_1e-3
0.0001,32,4000,0.0,1e-05,-24450.564807514198,-23284.6524893941,352971.70408896904,-21958.870490180347,-17366.279546476715,-23392.955424173477,-16699.591006674895,-34458.79730437951,428436.0980203482,76854.016753556,-20430.252865181057,69937.46818976509,-24313.59683630656,-20732.504137771677,50079.37301032756,143728.11040599106,-34458.79730437951,428436.0980203482,18,1e-05,car-train_10000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_1000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_11000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_12000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_13000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_14000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_2000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_3000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_4000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_5000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_6000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_7000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_8000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5;car-train_9000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-5
0.0001,32,4000,0.0,1e-05,-24450.564807514198,-23284.6524893941,352971.70408896904,-21958.870490180347,-17366.279546476715,-23392.955424173477,-16699.591006674895,-34458.79730437951,428436.0980203482,76854.016753556,-20430.252865181057,69937.46818976509,-24313.59683630656,-20732.504137771677,50079.37301032756,143728.11040599106,-34458.79730437951,428436.0980203482,18,0.0001,car-train_10000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_1000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_11000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_12000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_13000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_14000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_2000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_3000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_4000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_5000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_6000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_7000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_8000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4;car-train_9000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-4
0.0001,32,4000,0.0,1e-05,-24450.564807514198,-23284.6524893941,352971.70408896904,-21958.870490180347,-17366.279546476715,-23392.955424173477,-16699.591006674895,-34458.79730437951,428436.0980203482,76854.016753556,-20430.252865181057,69937.46818976509,-24313.59683630656,-20732.504137771677,50079.37301032756,143728.11040599106,-34458.79730437951,428436.0980203482,18,0.001,car-train_10000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_1000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_11000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_12000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_13000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_14000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_2000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_3000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_4000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_5000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_6000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_7000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_8000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3;car-train_9000_5000000_ss_1e-4_m_32_r_4000_e_0.0_l1_1e-3
0.0001,64,4000,0.0,1e-05,-21354.954585667892,58725.29740122836,-34079.73706977839,-30101.11003410998,-27942.84927311816,119254.82964091896,70766.76731210487,-35039.94365559285,22029.077985062304,21044.75613129054,189605.04820503842,33361.458331266986,-28137.63980479105,-20362.340321515716,22697.761447309742,65024.93359420782,-35039.94365559285,189605.04820503842,18,1e-05,car-train_10000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_1000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_11000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_12000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_13000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_14000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_2000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_3000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_4000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_5000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_6000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_7000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_8000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5;car-train_9000_5000000_ss_1e-4_m_64_r_4000_e_0.0_l1_1e-5
