actor_lr,critic_lr,buf_size,batch_size,ou_theta,ou_sigma,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,mean_auc,std_auc,min_auc,max_auc,n_seeds,file_name
0.0001,0.0001,1000000,64,0.15,0.1,,,,,,,,,,-50063.55445327484,-50063.55445327484,0.0,-50063.55445327484,0.0,5,car-train_10000_2000000_al_0.0001_cl_0.0001_buf_1000000_bs_64_th_0.15_sig_0.1
0.0001,0.001,1000000,64,0.2,0.2,,,,,,,,,,-50063.92211002317,-50063.92211002317,0.0,-50063.92211002317,0.0,5,car-train_10000_2000000_al_0.0001_cl_0.001_buf_1000000_bs_64_th_0.2_sig_0.2
0.0001,0.0001,500000,64,0.25,0.1,,-50064.37527631602,,-50064.35161574144,,-50063.31928811855,,,,,-50064.01539339201,0.4923155285612238,-50064.37527631602,0.4923155285612238,7,car-train_2000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_4000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_6000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1
0.0001,0.001,1000000,64,0.15,0.2,,,,,,,,,,-50064.02020753059,-50064.02020753059,0.0,-50064.02020753059,0.0,5,car-train_10000_2000000_al_0.0001_cl_0.001_buf_1000000_bs_64_th_0.15_sig_0.2
0.0001,0.0001,500000,64,0.15,0.2,,,,-50064.47271689589,,-50064.288966912376,,,,-50064.027283542084,-50064.26298911678,0.18277281447960508,-50064.47271689589,0.18277281447960508,7,car-train_10000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.2;car-train_4000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.2;car-train_6000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.2
0.0001,0.0001,1000000,64,0.15,0.2,,,,,,-50064.288966912376,,,,,-50064.288966912376,0.0,-50064.288966912376,0.0,5,car-train_6000_2000000_al_0.0001_cl_0.0001_buf_1000000_bs_64_th_0.15_sig_0.2
0.01,0.0001,100000,64,0.25,0.1,,,-50064.322654647825,,-50064.32239123217,,,-50064.34054130043,-50064.324228061654,-50064.35380478239,-50064.33272400489,0.012536733903019267,-50064.35380478239,0.012536733903019267,9,car-train_10000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_3000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_5000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_8000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_9000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1
0.01,0.0001,500000,64,0.25,0.1,,,-50064.322654647825,,,,,,-50064.324228061654,-50064.35380478239,-50064.33356249729,0.014327863002222021,-50064.35380478239,0.014327863002222021,7,car-train_10000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_3000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_9000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1
0.01,0.0001,500000,64,0.2,0.1,,,,,-50064.3248951341,,,-50064.35522037197,,,-50064.340057753034,0.015162618932663463,-50064.35522037197,0.015162618932663463,6,car-train_5000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.1;car-train_8000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.1
0.01,0.0001,1000000,64,0.25,0.1,,,,,,,,-50064.34054130043,,,-50064.34054130043,0.0,-50064.34054130043,0.0,5,car-train_8000_2000000_al_0.01_cl_0.0001_buf_1000000_bs_64_th_0.25_sig_0.1
0.01,0.0001,1000000,64,0.15,0.1,,,,,,,,,-50064.34632577502,,-50064.34632577502,0.0,-50064.34632577502,0.0,5,car-train_9000_2000000_al_0.01_cl_0.0001_buf_1000000_bs_64_th_0.15_sig_0.1
0.0001,0.0001,1000000,64,0.25,0.1,,,,-50064.35161574144,,,,,,,-50064.35161574144,0.0,-50064.35161574144,0.0,5,car-train_4000_2000000_al_0.0001_cl_0.0001_buf_1000000_bs_64_th_0.25_sig_0.1
0.0001,0.01,1000000,64,0.2,0.1,,,,,,,,-50064.352679879376,,,-50064.352679879376,0.0,-50064.352679879376,0.0,5,car-train_8000_2000000_al_0.0001_cl_0.01_buf_1000000_bs_64_th_0.2_sig_0.1
0.01,0.01,1000000,64,0.25,0.1,,,,,,,,,,-50064.353724488166,-50064.353724488166,0.0,-50064.353724488166,0.0,5,car-train_10000_2000000_al_0.01_cl_0.01_buf_1000000_bs_64_th_0.25_sig_0.1
0.01,0.0001,1000000,64,0.2,0.1,,,,,,,,-50064.35522037197,,,-50064.35522037197,0.0,-50064.35522037197,0.0,5,car-train_8000_2000000_al_0.01_cl_0.0001_buf_1000000_bs_64_th_0.2_sig_0.1
