step_size,num_minibatches,rollout_steps,entropy_coef,auc_seed_10000,auc_seed_20000,auc_seed_30000,auc_seed_40000,auc_seed_50000,mean_auc,std_auc,min_auc,max_auc,n_seeds
3.0000000000000014e-05,72,2750,0.05,257127.8630648228,64226.066768392855,-28384.059241770825,60464.1121554634,-32203.793547874495,64246.03783980674,104976.7657369133,-32203.793547874495,257127.8630648228,9
9.48683298050514e-05,16,5000,0.05,-20623.90647221619,216835.00110302705,-23739.39814582699,-21264.432163799996,-17375.28523205417,26766.39581782594,95055.98259195682,-23739.39814582699,216835.00110302705,9
3.0000000000000014e-05,100,3875,0.05,-45528.86149897006,99000.52413674118,41252.131874918115,-36240.35452289099,48871.1958987905,21470.927177717746,54721.975308162975,-45528.86149897006,99000.52413674118,9
3.0000000000000014e-05,44,1625,0.05,-31573.613881862562,91992.86175495961,-29453.769259137076,-34533.302669684075,89476.08294075569,17181.651777006315,60082.571272814246,-34533.302669684075,91992.86175495961,9
3.0000000000000014e-05,44,2750,0.05,-36054.81767767297,138826.168491115,-16130.006962316515,-25616.014994144534,-20826.528914763756,8039.759988443446,65726.04945949044,-36054.81767767297,138826.168491115,9
3.0000000000000014e-05,72,5000,0.05,7598.10802484829,94415.32869243283,-19815.190578018817,-27539.752988036627,-27377.185569417932,5456.26151636155,46311.38445559661,-27539.752988036627,94415.32869243283,9
3.0000000000000014e-05,16,500,0.05,-31430.519267885466,141355.94763408304,-39873.40339113055,-35829.27530740789,-15688.347495435837,3706.8804344446617,69311.50867552313,-39873.40339113055,141355.94763408304,9
9.48683298050514e-05,16,3875,0.05,-22610.247547076837,92584.68427314481,-15692.629696711158,-20973.77121355339,-17931.274202280394,3075.3523227046053,44818.62647781194,-22610.247547076837,92584.68427314481,9
3.0000000000000014e-05,44,5000,0.05,-25851.838516278658,106629.20344293836,-19285.33121553271,-27229.87026787046,-22203.913140877557,2411.6500604757953,52183.192495557065,-27229.87026787046,106629.20344293836,9
9.48683298050514e-05,16,2750,0.05,-30227.10212056564,115464.6913062673,-23519.4599807312,-24804.488110358743,-26127.308624460795,2157.266494030183,56698.44359695837,-30227.10212056564,115464.6913062673,9
9.48683298050514e-05,44,5000,0.05,25210.117638566924,114015.30910268529,-42162.57818909553,-46595.994884832646,-45005.11106315336,1092.3485208341342,62615.34057296522,-46595.994884832646,114015.30910268529,9
3.0000000000000014e-05,72,3875,0.05,-29059.38122262588,120386.03610425306,-26179.05139769781,-34875.48007798297,-27417.064784779315,571.0117242334178,59981.584404142304,-34875.48007798297,120386.03610425306,9
9.48683298050514e-05,44,3875,0.05,9496.989248044485,130581.95673313942,-47676.64140585808,-48723.88085455325,-46004.1878385662,-465.1528235587233,69143.65103643893,-48723.88085455325,130581.95673313942,9
9.48683298050514e-05,128,3875,0.0,75835.68551548026,-24635.557527571822,-15340.310932018649,-28032.43658169445,-28913.46853062665,-4217.217611286262,40314.18751025916,-28913.46853062665,75835.68551548026,9
9.48683298050514e-05,16,1625,0.05,-32164.84895353435,124926.5648386942,-36763.22784935769,-39266.28595188916,-38483.022778874285,-4350.164138992256,64685.274440135065,-39266.28595188916,124926.5648386942,9
3.0000000000000014e-05,72,1625,0.05,-5246.490202967786,20474.980679206492,839.2569442565951,-41486.11313967911,-44519.27988636997,-13987.529121110758,25188.3459399453,-44519.27988636997,25188.3459399453,9
